name,variant,p,layer,subspace,k,alpha,accuracy,delta_accuracy,rank,variance_fraction,is_random_control,variance_matched,trial,percentile
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,58,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.975,0.007000000000000006,2,0.6335174559295181,1,1,59,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,60,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.975,0.007000000000000006,2,0.6335174559295181,1,1,61,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.975,0.007000000000000006,2,0.6335174559295181,1,1,62,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,63,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.975,0.007000000000000006,2,0.6335174559295181,1,1,64,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,65,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,66,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,67,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,68,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.975,0.007000000000000006,2,0.6335174559295181,1,1,69,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.975,0.007000000000000006,2,0.6335174559295181,1,1,70,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.975,0.007000000000000006,2,0.6335174559295181,1,1,71,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.975,0.007000000000000006,2,0.6335174559295181,1,1,72,
